Date,NumericDeliveryMonth,Open,High,Low,Close,Volume,OI,TotalVolume,TotalOI
2008-01-23,201012,305.3,305.3,305.3,305.3,0,0,73184,236480
2008-03-13,201012,298.5,298.5,298.5,298.5,0,0,36833,220598
2008-03-14,201012,300.5,300.5,300.5,300.5,0,0,48523,220584
2008-03-17,201012,300.0,300.0,300.0,300.0,0,0,48519,221249
2008-03-18,201012,310.7,310.7,310.7,310.7,0,0,68148,219643
2008-03-19,201012,290.7,290.7,290.7,290.7,0,0,63233,224885
2008-03-20,201012,277.7,277.7,277.7,277.7,0,0,61007,225444
2008-03-24,201012,280.0,280.0,280.0,280.0,0,0,47384,223113
2008-03-25,201012,300.0,300.0,300.0,300.0,0,0,31598,219234
2008-03-26,201012,301.0,301.0,301.0,301.0,0,0,74900,219646
2008-03-27,201012,286.0,286.0,286.0,286.0,0,0,48918,214709
2008-03-28,201012,286.0,286.0,286.0,286.0,0,0,44931,218341
2008-03-31,201012,268.0,268.0,268.0,268.0,0,0,51946,221074
2008-04-01,201012,283.0,283.0,283.0,283.0,0,0,100641,223557
2008-04-02,201012,286.0,286.0,286.0,286.0,0,0,52378,224643
2008-04-03,201012,287.0,287.0,287.0,287.0,0,0,30650,223431
2008-04-04,201012,295.0,295.0,295.0,295.0,0,0,46071,223336
2008-04-07,201012,295.0,295.0,295.0,295.0,0,0,43803,223987
2008-04-08,201012,295.0,295.0,295.0,295.0,0,0,41525,221541
2008-04-09,201012,302.0,302.0,302.0,302.0,0,0,62398,222089
2008-04-10,201012,303.0,303.0,303.0,303.0,0,0,80655,217272
2008-04-11,201012,300.0,300.0,300.0,300.0,0,0,49716,218317
2008-04-14,201012,302.0,302.0,302.0,302.0,0,0,43127,217677
2008-04-15,201012,304.0,304.0,304.0,304.0,0,0,48352,218072
2008-04-16,201012,300.0,300.0,300.0,300.0,0,0,59689,218630
2008-04-17,201012,308.0,308.0,308.0,308.0,0,0,43955,214596
2008-04-18,201012,308.0,308.0,308.0,308.0,0,0,36036,215414
2008-04-21,201012,299.0,299.0,299.0,299.0,0,0,52810,215980
2008-04-22,201012,306.0,306.0,306.0,306.0,0,0,94414,220561
2008-04-23,201012,300.0,300.0,300.0,300.0,0,0,77262,219372
2008-04-24,201012,299.5,299.5,299.5,299.5,0,0,57896,217095
2008-04-25,201012,299.5,299.5,299.5,299.5,0,0,51560,213182
2008-04-28,201012,297.0,297.0,297.0,297.0,0,0,73228,212881
2008-04-29,201012,297.0,297.0,297.0,296.0,0,0,65522,207216
2008-04-30,201012,296.0,296.0,296.0,305.0,0,0,69311,207442
2008-05-01,201012,300.0,300.0,300.0,300.0,0,0,93990,204177
2008-05-02,201012,300.0,300.0,300.0,300.0,0,0,39441,202261
2008-05-05,201012,302.0,302.0,302.0,302.0,0,0,35365,200934
2008-05-06,201012,301.0,301.0,301.0,301.0,0,0,46224,197661
2008-05-07,201012,307.0,307.0,307.0,307.0,0,0,60146,198426
2008-05-08,201012,308.0,308.0,308.0,308.0,0,0,36427,195598
2008-05-09,201012,306.0,306.0,306.0,306.0,0,0,46548,197153
2008-05-12,201012,307.5,307.5,307.5,307.5,0,0,29547,197539
2008-05-13,201012,320.0,320.0,320.0,320.0,0,0,40954,194921
2008-05-14,201012,320.0,320.0,320.0,320.0,0,0,43880,197447
2008-05-15,201012,318.0,318.0,318.0,318.0,0,0,58591,196610
2008-05-16,201012,325.0,325.0,325.0,325.0,0,0,41789,198340
2008-05-19,201012,321.0,321.0,321.0,321.0,0,0,37658,197713
2008-05-20,201012,326.0,326.0,326.0,326.0,0,0,32433,198969
2008-05-21,201012,330.0,330.0,330.0,330.0,0,0,51747,199569
2008-05-22,201012,333.0,333.0,333.0,333.0,0,0,53886,202557
2008-05-23,201012,328.0,328.0,328.0,328.0,0,0,57300,200888
2008-05-27,201012,329.0,329.0,329.0,329.0,0,0,32653,200377
2008-05-28,201012,330.0,330.0,330.0,330.0,0,0,49193,201527
2008-05-29,201012,330.5,330.5,330.5,330.5,0,0,56824,201537
2008-05-30,201012,331.0,331.0,331.0,331.0,0,0,79710,203656
2008-06-02,201012,335.0,335.0,335.0,335.0,0,0,49059,202841
2008-06-03,201012,333.0,333.0,333.0,333.0,0,0,47302,203136
2008-06-04,201012,339.0,339.0,339.0,339.0,0,0,78564,204343
2008-06-05,201012,348.0,348.0,348.0,348.0,0,0,74592,208526
2008-06-06,201012,348.0,348.0,348.0,348.0,0,0,80523,205864
2008-06-09,201012,348.0,348.0,348.0,348.0,0,0,50133,205927
2008-06-10,201012,357.0,357.0,357.0,357.0,0,0,70874,207529
2008-06-11,201012,370.0,370.0,370.0,370.0,0,0,91790,207112
2008-06-12,201012,371.5,371.5,371.5,371.5,0,0,92078,213186
2008-06-13,201012,372.0,372.0,372.0,372.0,0,0,111320,217482
2008-06-16,201012,373.8,373.8,373.8,373.8,0,0,76136,220005
2008-06-17,201012,370.8,370.8,370.8,370.8,0,0,82386,222910
2008-06-18,201012,375.0,375.0,375.0,375.0,0,0,51438,224326
2008-06-19,201012,372.0,372.0,372.0,372.0,0,0,64982,226494
2008-06-20,201012,365.0,365.0,365.0,365.0,0,0,82855,223830
2008-06-23,201012,370.0,370.0,370.0,370.0,0,0,66327,226032
2008-06-24,201012,373.0,373.0,373.0,373.0,0,0,62382,221465
2008-06-25,201012,377.0,377.0,377.0,377.0,0,0,62087,222179
2008-06-26,201012,380.0,380.0,380.0,380.0,0,0,83156,223553
2008-06-27,201012,375.0,375.0,375.0,375.0,0,0,69171,223745
2008-06-30,201012,375.0,375.0,375.0,375.0,0,0,62856,226328
2008-07-01,201012,382.0,382.0,382.0,382.0,0,0,52295,225308
